Tên cây,Loại bệnh,Nguyên nhân,Triệu chứng,Cách điều trị
Cây bơ,Các loài côn trùng ăn rễ,"Dế, ấu trùng bọ cánh cứng hoặc ấu trùng ve sầu. Sống trong đất, làm tổ gần gốc bơ.","Ăn phần rễ non hoặc cắn đứt rễ. Làm cây không nhận được chất dinh dưỡng, còi cọc, phát triển chậm. Có thể làm cây suy kiệt rồi chết hẳn, nhất là cây con mới trồng.","Dùng thuốc trừ sâu dạng bột, bới đất quanh gốc, rải thuốc rồi lấp lại. Dọn sạch lá cây, cỏ dại quanh gốc để hạn chế nơi ẩn nấp. Nâng cao hiệu quả bằng máy bay phun thuốc không người lái."
Cây bơ,"Ruồi vàng, ruồi giấm","Ruồi vàng, ruồi giấm.","Gây hại trên quả. Chích hút nhựa từ quả non, tạo nốt sần hoặc mảng sần sùi, làm giảm giá trị thương phẩm. Với quả già, đẻ ấu trùng vào bên trong, gây thối quả, rụng sớm, giảm năng suất.","Sử dụng các loại thuốc trừ sâu có đặc tính thấm sâu, độc mạnh, tác dụng lâu để phun phòng trừ 1-2 tháng/lần. Nâng cao hiệu quả bằng máy bay phun thuốc không người lái."
Cây bơ,Bệnh thối rễ,"Nấm Phytophthora. Gây hại mạnh ở những vùng đất ẩm ướt quanh năm, thoát nước kém, bón phân không cân đối.","Nấm tấn công làm bộ rễ bị hỏng, thối rễ. Cây sẽ chết nếu không có biện pháp xử lý, nhất là cây nhỏ từ 1-2 năm tuổi.","Không được nêu cụ thể trong bài viết, nhưng có thể áp dụng các biện pháp phòng trừ chung và sử dụng máy bay phun thuốc không người lái để nâng cao hiệu quả phòng trừ tổng thể."
Cây bơ,"Bệnh đốm lá đốm quả (đốm mắt cua, đốm mắt ếch)",Không được nêu cụ thể (là một loại bệnh).,"Trên lá: vết bệnh nhỏ tương đồng, bắt đầu từ mép lá, lan rộng và liên kết thành mảng, làm lá khô héo, rụng nhiều. Trên quả: nốt nhỏ khoảng 5mm, màu nâu nhạt sau đậm dần, vết bệnh liên kết thành mảng, làm vỏ sần sùi, phần thịt quả bên trong xuất hiện lõi cứng. Nhẹ thì giảm giá trị, nặng gây thối trái, rụng trái.","Không được nêu cụ thể trong bài viết, nhưng có thể áp dụng các biện pháp phòng trừ chung và sử dụng máy bay phun thuốc không người lái để nâng cao hiệu quả phòng trừ tổng thể."
Cây bơ,Bệnh khô cành,Không được nêu cụ thể (là một loại bệnh).,"Thường xuất hiện trên các cành non (vỏ còn xanh chưa hóa gỗ). Trên quả, tấn công phần cuống, phần quả tiếp giáp hoặc hay bị cọ sát. Cành khô héo, chết dần do không lấy được dưỡng chất. Quả dễ rụng, thối cuống, giảm năng suất.","Không được nêu cụ thể trong bài viết, nhưng có thể áp dụng các biện pháp phòng trừ chung và sử dụng máy bay phun thuốc không người lái để nâng cao hiệu quả phòng trừ tổng thể."
Cây bơ,Bệnh héo rũ,Không được nêu cụ thể (là một loại bệnh).,"Một phần thân, cành hoặc toàn bộ cây héo rũ đột ngột. Lá héo và khô ngay trên cây mà không kịp rụng. Bóc lớp vỏ thường thấy mạch gỗ chuyển thành màu nâu. Cây trưởng thành có khả năng phục hồi (sau 1-2 tháng) nhưng năng suất, sức sinh trưởng giảm. Cây nhỏ dưới 5 năm tuổi thường chết đứng.","Không được nêu cụ thể trong bài viết, nhưng có thể áp dụng các biện pháp phòng trừ chung và sử dụng máy bay phun thuốc không người lái để nâng cao hiệu quả phòng trừ tổng thể."
Cây bơ,Bệnh thối thân xì mủ,"Nấm Phytophthora. Hay xuất hiện đầu mùa mưa, trong các vườn rậm rạp, thiếu ánh sáng.","Biểu hiện bệnh xuất hiện ngay trên thân cây, nhất là phần gốc rễ. Xuất hiện nhiều nấm trắng, mủ xì chảy dài trên thân cây. Phần thân bị bệnh đậm màu, đôi khi chuyển sang màu đen. Cạo lớp vỏ thấy mạch gỗ bên trong chuyển sang màu nâu, hư hỏng nặng.","Không được nêu cụ thể trong bài viết, nhưng có thể áp dụng các biện pháp phòng trừ chung và sử dụng máy bay phun thuốc không người lái để nâng cao hiệu quả phòng trừ tổng thể."
Cây ổi,Rầy mềm,Rầy mềm hút nhựa,"Xuất hiện ở đọt non và mặt dưới của lá. Chúng hút nhựa khiến đọt và cuống lá bị xoăn, quắn. Trường hợp bệnh nặng sẽ tạo điều kiện cho nấm bồ hóng phát triển.","Phun Bassa 50ND, Trebon 10EC, Applaud 10WP, Sevin 85WP nồng độ 0,1 - 0,2%."
Cây ổi,"Rệp (rệp dính, rệp sáp, rệp phấn trắng)",Rệp hút nhựa,"Rệp tập trung trên thân và gân chính của lá để hút nhựa. Lá sẽ bị héo khô, chuyển sang màu vàng và rụng. Bệnh này còn làm suy giảm chất lượng và kích thước của trái.","Phun Bi 58 40 EC, Suppracide 40 ND, Confidor 100 SL, Admire 50 EC nồng độ 0,1 - 0,2%, kết hợp với chất dính ST nồng độ 0,1%."
Cây ổi,Ruồi đục trái,"Ruồi đẻ trứng bên trong trái, trứng nở thành giòi, ăn thịt trái.",Giòi ăn thịt trái và làm thối trái. Thường xuất hiện nhiều hơn vào mùa mưa.,"Cài đặt bẫy để tiêu diệt ruồi. Sau khi thu hoạch trái thì nhặt sạch các trái rụng, sau đó vệ sinh vườn trồng sạch sẽ."
Cây ổi,Sâu đục trái,"Sâu non gây bệnh trên lá, ăn vào trái non, đặc biệt là chỗ đài hoa.","Làm giảm tỷ lệ đậu trái, nếu đậu trái thì trái non cũng không phát triển được mà sẽ bị rụng dần.","Phun thuốc Cymbus 5 EC, Karate 2,5 EC, Decis 2,5 EC, Fenbis 2,5 EC, Baythroid 5 SL nồng độ 0,1 - 0,2%. Đồng thời, dùng bao nilon để bọc các trái."
Cây ổi,Bọ xít hại trái,"Bọ xít có màu vàng hơi nâu, chích hút chồi và trái non.","Chồi non bị khô rụng và trái non không phát triển. Nếu có phát triển thì chất lượng cũng không cao, không thu hoạch được.","Phun thuốc Cymbus 5 EC, Karate 2,5 EC, Decis 2,5 EC, Fenbis 2,5 EC, Baythroid 5 SL nồng độ 0,1 - 0,2%. Đồng thời, dùng bao nilon để bọc các trái."
Cây ổi,Sâu đục cành,Sâu non màu hồng đục trực tiếp các cành mọc thẳng đứng và làm nhộng bên trong cành.,Tại chỗ sâu đục có phân sâu ị đùn và mạt gỗ rơi ra. Nếu không được điều trị thì cành sẽ khô và chết.,Tiêm thuốc trừ sâu hoặc nhét thuốc viên trực tiếp vào chỗ có vết sâu đục.
Cây ổi,Ghẻ,Không được nêu rõ trong bài viết.,"Xuất hiện trên nhiều bộ phận của cây như lá, hoa, trái non. Tại các bộ phận bị bệnh sẽ xuất hiện những đốm màu xám xanh, hình tròn, tơ màu đen hơi xanh ngoài viền. Sau vài ngày thì phần tơ biến mất, đốm bệnh nhô lên, sần sùi (đặc biệt là các vết ghẻ màu đen, nâu dày đặc trên vỏ quả).","Phun các thuốc CAROSAL 50SC, CANAZOLE SUPER 320EC, Azoxystrobin, Benomyl, Metalaxyl. Đồng thời, tỉa cành để tạo độ thông thoáng cho vườn trồng."
Cây ổi,Thán thư,Không được nêu rõ trong bài viết.,"Thường gặp nhất trên trái với dấu hiệu là những chấm nhỏ màu hồng trên trái non. Sau thời gian dài sẽ lan thành đốm to màu nâu đen trên trái chín. Trái nhỏ, khô và dễ bị rụng.","Phun Dithane M-45 (Mancozeb 80 WP, Pencozeb 80 WP, Manzate 80 WP), Bayfidan 25 EC, Antracol 70 WP, Ridomil 72 WP nồng độ 0,1 - 0,2%."
Cây ổi,Đốm lá,Nấm Cercospora psidii.,"Gây ra những đốm bệnh tròn, ở giữa màu nâu nhạt, xung quanh màu nâu đậm. Bệnh khiến lá không giữ được màu xanh vốn có mà hơi vàng nhạt, sau đó khô rụng.","Phun Copper-B 65 BHN, Mancozeb 80 WP, Score 250 EC nồng độ 0,1 - 0,2%. Cắt tỉa cành cây và thu gom, nhặt sạch các lá bị bệnh, rụng."
Cây ổi,Đốm mắt ếch,"Thường xảy ra trên những cây chăm sóc kém, bị thiếu nước.","Khá giống với bệnh đốm lá, tuy nhiên, chỗ đốm bệnh rất dễ bị thủng khiến lá bị rách. Lá bị nặng sẽ chuyển sang màu vàng và rụng dần.","Phun Copper-B 65 BHN, Mancozeb 80 WP, Score 250 EC nồng độ 0,1 - 0,2%. Cắt tỉa cành cây và thu gom, nhặt sạch các lá bị bệnh, rụng."
Vải,Bệnh sương mai trên quả,"Bùng phát mạnh mẽ vào tháng 6 khi tiết trời oi ả, nóng bức. Đặc biệt, giai đoạn quả chín và thu hoạch, nếu trời mưa nhiều, sáng sớm nhiều sương, nhiệt độ thấp (25 - 27 độ C) thì tỷ lệ nhiễm bệnh rất cao.","Những đốm màu nâu dạng thấm nước xuất hiện trên vỏ. Sau vài ngày thì đốm bệnh này sẽ xâm nhập vào phần thịt quả, khiến thịt quả bị lõm xuống và thối nhũn.",Dùng 25ml Elicitor 250 + 50ml siêu đồng pha với 20 lít nước rồi phun tưới cho cây.
Vải,Bệnh mất màu trên quả,Nghiêm trọng nhất trong điều kiện thời tiết nóng và ẩm.,"Vỏ quả xuất hiện những đốm đen, đốm nâu. Trường hợp bệnh nặng thì những đốm đen và nâu này sẽ ăn sâu vào phần thịt quả, làm giảm giá trị thương phẩm.",Dùng 25ml Elicitor 250 + 50ml siêu đồng pha với 20 lít nước rồi phun tưới cho cây.
Vải,Bệnh nứt quả vải,"Đây là bệnh sinh lý, không phải do sâu, nấm hay vi khuẩn gây ra. Bệnh phát sinh từ khi cùi quả bao kín hạt cho đến thời điểm thu hoạch. Nguyên nhân là do cùi quả phát triển quá nhanh so với sự phát triển của vỏ quả, khiến vỏ không chịu được 'áp lực' và bị nứt. Tình trạng sẽ càng nghiêm trọng nếu người trồng bón phân muộn và quá nhiều, hoặc tưới đẫy nước cho cây sau một đợt nắng nóng hoặc mưa kéo dài.",Vỏ quả bị nứt.,"Không bón phân quá nhiều và quá muộn. Điều hòa việc tưới nước, chỉ nên tưới đủ để duy trì độ ẩm cho cây, không tưới đẫy nước."
Vải,Bệnh ký sinh (Địa y bám trên cành cây),"Thường xảy ra ở những cây già cỗi, cành rậm rạp, nơi có địa y bám vào thân, cành.","Địa y bám trên thân, cành cây. Chúng hút chất dinh dưỡng khiến các bộ phận này bị còi cọc, cằn cỗi, khô héo, làm suy giảm sức đề kháng, khả năng sinh trưởng và phát triển của cây.","Thường xuyên cắt tỉa tán cây để đảm bảo sự thông thoáng cho vườn trồng. Khi cây có dấu hiệu ký sinh thì dùng dao sạch cạo hết những vết ký sinh này đi, sau đó phun Boocđô nồng độ 1% để phòng trừ."
Vải,Bệnh sém mép lá,"Do nấm gây ra, phát sinh vào đầu mùa mưa và nặng nề vào các tháng 2, 3, 4.","Ở phần đầu và mép lá xuất hiện những vết thương tổn. Sau vài ngày, vết bệnh này sẽ chuyển sang vàng và khô.","Phun Elicitor 250 + siêu đồng để phòng trừ. Đồng thời, cắt bỏ những cành lá bị bệnh để phòng tránh sự lây lan sang cả vườn trồng."
Cây mít,Bệnh thối nhũn,"Các chủng nấm Rhizoctonia solani, Sclerotium, Pythium gây ra trong điều kiện độ ẩm cao, vườn rậm rạp.","Ở phần thân gốc xuất hiện nhiều hạch nấm với kích thước to nhỏ khác nhau, dày đặc trên bề mặt. Gốc cây sẽ bị teo dần. Lá có đoạn xanh tươi, nhưng có đoạn lại bị rục nhũn như luộc trong nước nóng.","Tạo vườn trồng thông thoáng, cắt tỉa thường xuyên nếu tán cây dày.
Trồng cây mít ở khu vực cao ráo, khả năng thoát nước tốt, không để nước ứ đọng, ngập úng.
Thường xuyên dọn dẹp, làm sạch cỏ dại.
Tăng cường các biện pháp sinh học như dùng thuốc diệt nấm.
Chủ động phun thuốc phòng trừ sâu bệnh, đặc biệt vào mùa cao điểm.
Trang bị thiết bị, máy móc hỗ trợ như máy bay phun thuốc không người lái để tăng hiệu quả.
Thăm nom, chăm sóc vườn trồng thường xuyên và xử lý nhanh khi phát hiện dấu hiệu bệnh."
Cây mít,Bệnh thối gốc chảy nhựa,"Do nấm Phytophthora gây hại, thường xuất hiện ở những vườn trồng có mật độ quá dày, tán lá um tùm.","Xuất hiện nhiều vết loét ở gốc cây. Từ vết loét có dịch chảy ra, khi sờ vào chỗ vết bệnh cảm thấy ẩm ướt, dính tay. Lá sẽ bắt đầu chuyển sang màu vàng, rụng dần. Tình trạng nặng có thể khiến cây chết.","Tạo vườn trồng thông thoáng, cắt tỉa thường xuyên nếu tán cây dày.
Trồng cây mít ở khu vực cao ráo, khả năng thoát nước tốt, không để nước ứ đọng, ngập úng.
Thường xuyên dọn dẹp, làm sạch cỏ dại.
Tăng cường các biện pháp sinh học như dùng thuốc diệt nấm.
Chủ động phun thuốc phòng trừ sâu bệnh, đặc biệt vào mùa cao điểm.
Trang bị thiết bị, máy móc hỗ trợ như máy bay phun thuốc không người lái để tăng hiệu quả.
Thăm nom, chăm sóc vườn trồng thường xuyên và xử lý nhanh khi phát hiện dấu hiệu bệnh."
Cây mít,"Sâu đục thân, sâu đục cành","Sâu Margronia đẻ trứng lên lá non, trái non rồi từ từ đục vào thân và cành cây mít.","Trên lá non và trái non sẽ có những ổ trứng. Những bộ phận bị sâu đục sẽ có vết loang lổ màu nâu đậm, rất dễ nhìn thấy bằng mắt thường.","Tạo vườn trồng thông thoáng, cắt tỉa thường xuyên nếu tán cây dày.
Trồng cây mít ở khu vực cao ráo, khả năng thoát nước tốt, không để nước ứ đọng, ngập úng.
Thường xuyên dọn dẹp, làm sạch cỏ dại.
Bảo vệ các loài thiên địch để tiêu diệt sâu bọ (như thằn lằn, cá đuôi cờ, cóc, sáo).
Tăng cường các biện pháp sinh học như dùng hóa chất diệt sâu bọ.
Chủ động phun thuốc phòng trừ sâu bệnh, đặc biệt vào mùa cao điểm.
Trang bị thiết bị, máy móc hỗ trợ như máy bay phun thuốc không người lái để tăng hiệu quả.
Thăm nom, chăm sóc vườn trồng thường xuyên và xử lý nhanh khi phát hiện dấu hiệu bệnh."
Cây mít,Ruồi và sâu đục trái/quả mít,Ruồi (loài Dacus sp) đẻ trứng vào trái già; Sâu đục quả gây hại ở phần tiếp giáp giữa các trái với nhau hoặc giữa trái với thân cây.,"Tại vị trí tiếp giáp giữa những trái mít hoặc giữa trái mít với phần thân cây xuất hiện những vết đục to nhỏ khác nhau do ruồi và sâu gây ra, dẫn đến thối trái.","Tạo vườn trồng thông thoáng, cắt tỉa thường xuyên nếu tán cây dày.
Trồng cây mít ở khu vực cao ráo, khả năng thoát nước tốt, không để nước ứ đọng, ngập úng.
Thường xuyên dọn dẹp, làm sạch cỏ dại.
Bảo vệ các loài thiên địch để tiêu diệt ruồi, sâu đục trái mít (như thằn lằn, cá đuôi cờ, cóc, sáo).
Tăng cường các biện pháp sinh học như dùng hóa chất diệt sâu bọ.
Chủ động phun thuốc phòng trừ sâu bệnh, đặc biệt vào mùa cao điểm.
Trang bị thiết bị, máy móc hỗ trợ như máy bay phun thuốc không người lái để tăng hiệu quả.
Thăm nom, chăm sóc vườn trồng thường xuyên và xử lý nhanh khi phát hiện dấu hiệu bệnh."
Cây mít,"Bệnh do rầy, rệp","Rầy, rệp gây hại trên nhiều bộ phận, đặc biệt là lá.","Hút nhựa lá non, đọt non khiến lá và đọt bị quăn queo. Kết hợp với bồ hóng tấn công sẽ làm lá bị mất khả năng quang hợp, dẫn đến cây yếu dần và chết. Khiến cây còi cọc, chậm lớn, ra quả ít, quả kém chất lượng.","Tạo vườn trồng thông thoáng, cắt tỉa thường xuyên nếu tán cây dày.
Trồng cây mít ở khu vực cao ráo, khả năng thoát nước tốt, không để nước ứ đọng, ngập úng.
Thường xuyên dọn dẹp, làm sạch cỏ dại.
Bảo vệ các loài thiên địch để tiêu diệt rầy, rệp (như thằn lằn, cá đuôi cờ, cóc, sáo).
Tăng cường các biện pháp sinh học như dùng hóa chất diệt rầy rệp.
Chủ động phun thuốc phòng trừ sâu bệnh, đặc biệt vào mùa cao điểm.
Trang bị thiết bị, máy móc hỗ trợ như máy bay phun thuốc không người lái để tăng hiệu quả.
Thăm nom, chăm sóc vườn trồng thường xuyên và xử lý nhanh khi phát hiện dấu hiệu bệnh."
Chôm chôm,Đốm rong,"Thường gặp tại những nhà vườn có điều kiện canh tác kém, nhiều cỏ dại, thường xuyên bị côn trùng và nhện tấn công, gây hại.","Mới khởi phát là những chấm nhỏ màu xanh, sau lớn dần có hình tròn hoặc bầu dục, có lớp tơ mịn như nhung màu xanh rêu. Khi bệnh nặng sẽ lan lên các nhánh trên, có thể lây sang cả quả nếu phun nhiều phân bón lá.","Thường xuyên tỉa cành, tạo tán để vườn cây thông thoáng. Sử dụng Elicitor kết hợp cùng đồng sunfat để phun ướt đẫm thân, cành và lá."
Chôm chôm,Bồ hóng,"Liên quan đến sự tiết mật của các loại côn trùng như rệp sáp, rệp bông, rầy mềm (được suy ra từ cách điều trị).","Khởi phát ở lá và trái, thể hiện qua những đốm với sợi nấm màu đen trông như một lớp bồ hóng bám vào mặt lá. Vỏ quả bị mất màu tại vị trí vết bệnh, nếu nặng vỏ quả xù xì, kém thẩm mỹ, giảm giá trị thương phẩm.","Thường xuyên cắt tỉa sau thu hoạch để vườn cây thông thoáng. Bón phân cân đối, tưới nước đều đặn vào mùa nắng để giảm tiết mật. Phun thuốc gốc đồng cùng thuốc trừ sâu, rệp sáp, rệp bông, rầy mềm."
